Rank,Release,Opening,Open,Distributor,movie_id
86,Never Let Go,"$4,449,065 ",Sep,Lionsgate,tt14415204
87,The Brutalist,"$266,791 ",Dec,A24,tt8999762
88,Late Night with the Devil,"$2,834,867 ",Mar,IFC Films,tt14966898
89,Lisa Frankenstein,"$3,695,785 ",Feb,Focus Features,tt21188080
90,Piece by Piece,"$3,851,355 ",Oct,Focus Features,tt31064841
91,Saturday Night,"$270,487 ",Sep,Sony Pictures Releasing,tt27657135
93,The Crow,"$4,644,666 ",Aug,Lionsgate,tt1340094
94,The Lord of the Rings: The War of the Rohirrim,"$4,552,109 ",Dec,Warner Bros.,tt14824600
95,Thelma,"$2,303,222 ",Jun,Magnolia Pictures,tt23778968
96,Love Lies Bleeding,"$150,765 ",Mar,A24,tt19637052
97,A Real Pain,"$228,856 ",Nov,Searchlight Pictures,tt21823606
98,Spy x Family Code: White,"$4,824,993 ",Apr,Crunchyroll,tt26684398
101,Megalopolis,"$4,007,797 ",Sep,-,tt10128846
102,Sight,"$2,795,447 ",May,Angel Studios,tt12873300
103,Haikyu!! The Dumpster Battle,"$3,645,301 ",May,Crunchyroll,tt30476486
105,I.S.S.,"$3,064,583 ",Jan,Bleecker Street Media,tt13655120
106,Cuckoo,"$3,030,437 ",Aug,Neon,tt12349832
107,Back to Black,"$2,835,720 ",May,Focus Features,tt21261712
108,The Book of Clarence,"$2,557,027 ",Jan,Sony Pictures Releasing,tt22866358
111,Someone Like You,"$2,979,692 ",Apr,Fathom Events,tt22334258
112,One Life,"$1,713,505 ",Mar,Bleecker Street Media,tt13097932
113,Devara Part 1,"$5,600,000 ",Sep,-,tt11821912
114,The Killer's Game,"$2,697,850 ",Sep,Lionsgate,tt0327785
115,My Old Ass,"$167,853 ",Sep,Amazon MGM Studios,tt18559464
116,White Bird,"$1,557,893 ",Oct,Lionsgate,tt11068094
118,Kinds of Kindness,"$377,289 ",Jun,Searchlight Pictures,tt22408160
119,Drive-Away Dolls,"$2,404,330 ",Feb,Focus Features,tt19356262
120,I Saw the TV Glow,"$119,015 ",May,A24,tt15574270
121,Wicked Little Letters,"$76,654 ",Mar,Sony Pictures Releasing,tt20234774
122,Dìdi,"$207,307 ",Jul,Focus Features,tt30319503
123,Land of Bad,"$1,840,510 ",Feb,The Avenue Entertainment,tt19864802
124,The Exorcism,"$2,457,041 ",Jun,Vertical Entertainment,tt11240348
125,The Last Showgirl,"$77,589 ",Dec,Roadside Attractions,tt31193791
126,Y2K,"$2,113,923 ",Dec,A24,tt27218960
127,In a Violent Nature,"$2,155,346 ",May,IFC Films,tt30321146
129,The Apprentice,"$1,613,233 ",Oct,Briarcliff Entertainment,tt8368368
130,Flow,"$50,811 ",Nov,Janus Films,tt4772188
131,Babes,"$163,130 ",May,Neon,tt21276958
132,Perfect Days,"$100,924 ",Feb,Neon,tt27503384
133,Queer,"$200,951 ",Nov,A24,tt24176060
135,Solo Leveling: ReAwakening,"$2,452,895 ",Dec,Sony Pictures Releasing,tt21209876
136,God's Not Dead: In God We Trust,"$1,503,593 ",Sep,Fathom Events,tt2528814
139,The Front Room,"$1,585,440 ",Sep,A24,tt21905744
140,Strange Darling,"$1,142,928 ",Aug,-,tt22375054
141,The Long Game,"$1,300,398 ",Apr,-,tt7738330
145,My Penguin Friend,"$1,033,435 ",Aug,Roadside Attractions,tt8609660
146,Absolution,"$1,381,692 ",Nov,The Samuel Goldwyn Company,tt8337290
147,The Taste of Things,"$130,050 ",Feb,IFC Films,tt19760052
149,Ezra,"$1,242,678 ",May,Bleecker Street Media,tt20315818
151,Boy Kills World,"$1,682,525 ",Apr,Roadside Attractions,tt13923084
152,"Hello, Love, Again","$2,326,000 ",Nov,-,tt32401874
158,Problemista,"$131,521 ",Mar,A24,tt15078804
159,The American Society of Magical Negroes,"$1,304,270 ",Mar,Focus Features,tt30007864
161,Summer Camp,"$1,086,602 ",May,Roadside Attractions,tt26928684
162,Sing Sing,"$137,119 ",Jul,A24,tt28479262
163,Howl's Moving Castle20th Anniversary – Studio Ghibli Fest 2024,"$2,109,935 ",Sep,Fathom Events,tt0347149
164,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"$2,328,339 ",Dec,Trafalgar Releasing,tt0368667
166,Elevation,"$1,216,578 ",Nov,Vertical Entertainment,tt23558280
167,Exhuma,"$60,512 ",Mar,Well Go USA Entertainment,tt27802490
