,MAE,MSE,R2 Score
Linear Regression (No Log),1.6329467105491855e+19,8.532847870361107e+39,-2.2036337725605053e+25
Decision Tree (No Log),9028088.96875,1022028582397746.0,-1.6394197282208185
Random Forest (No Log),4331049.899062499,106959075893585.3,0.7237749512215409
XGBoost (No Log),4619917.130249023,153707162816283.75,0.6030466027140304
Linear Regression (Log Transformed),6686812.12531926,141363846160915.66,0.6349235913354463
Decision Tree (Log Transformed),9278527.625000006,1028034576047087.0,-1.6549303884887063
Random Forest (Log Transformed),4200282.477261362,82457481905306.05,0.7870510588170845
XGBoost (Log Transformed),3821671.446777341,72530414616227.5,0.8126880103636827
Best XGBoost,4376317.416503911,72406001585724.4,0.8130093107781851
