Negative_sentiment_score,Neutral_sentiment_score,Positive_sentiment_score,Compound_sentiment_score,Rank,Opening_earnings,Release_month_Aug,Release_month_Dec,Release_month_Feb,Release_month_Jan,Release_month_Jul,Release_month_Jun,Release_month_Mar,Release_month_May,Release_month_Nov,Release_month_Oct,Release_month_Sep,Distributor_20th Century Studios,Distributor_A24,Distributor_AA Films,Distributor_Affirm Films,Distributor_Amazon MGM Studios,Distributor_Angel Studios,Distributor_Atlas Distribution Company,Distributor_Bleecker Street Media,Distributor_Briarcliff Entertainment,Distributor_Cineverse,Distributor_Columbia Pictures,Distributor_Crunchyroll,Distributor_Fathom Events,Distributor_Focus Features,Distributor_GKIDS,Distributor_IFC Films,Distributor_Janus Films,Distributor_Lionsgate,Distributor_MUBI,Distributor_Magnolia Pictures,Distributor_Metro-Goldwyn-Mayer (MGM),Distributor_Neon,Distributor_Paramount Pictures,Distributor_Roadside Attractions,Distributor_SDG Releasing,Distributor_Screen Gems,Distributor_Searchlight Pictures,Distributor_Sony Pictures Releasing,Distributor_The Avenue Entertainment,Distributor_The Samuel Goldwyn Company,Distributor_Trafalgar Releasing,Distributor_Universal Pictures,Distributor_Vertical Entertainment,Distributor_Walt Disney Studios Motion Pictures,Distributor_Warner Bros.,Distributor_Well Go USA Entertainment
0.04932,0.76672,0.18404,0.802572,3.0,112508890.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.05192,0.76656,0.1816,0.880396,70.0,5668275.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0542,0.72536,0.2204,0.8113,102.0,2795447.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.06672,0.78832,0.14492,0.63798,112.0,1713505.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.05692,0.74744,0.19572,0.838364,10.0,35409365.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.09236,0.7386,0.16908,0.499956,93.0,4644666.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.10616,0.73168,0.16212,0.277844,19.0,52202495.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0732,0.731,0.19588,0.699284,4.0,139787385.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0932,0.78584,0.12104,0.326096,105.0,3064583.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.10372,0.7212,0.17508,0.528568,151.0,1682525.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0.12304,0.71136,0.16552,0.289292,69.0,6503012.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.06856,0.74576,0.1858,0.679904,184.0,18259.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.05164,0.71488,0.2334,0.930792,66.0,7168520.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.11036,0.745,0.14452,0.37368,86.0,4449065.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0646,0.76944,0.16576,0.742104,11.0,80006561.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.08436,0.75568,0.15996,0.556908,94.0,4552109.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.08488,0.75528,0.15988,0.47366,59.0,7301894.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.08264,0.73764,0.17972,0.454264,23.0,32106112.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0954,0.73216,0.1726,0.5499,88.0,2834867.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.08216,0.732,0.18584,0.826964,39.0,17473540.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.09552,0.77048,0.134,0.169624,187.0,1052998.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.08244,0.74452,0.17284,0.625188,158.0,131521.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0982,0.7108,0.19104,0.505464,34.0,16576007.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0856,0.7686,0.14588,0.51092,120.0,119015.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.08132,0.75656,0.16228,0.344584,170.0,1034132.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
0.0786,0.79408,0.12736,0.380728,176.0,32021.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.05836,0.7262,0.21552,0.805656,72.0,6003197.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0948,0.72744,0.17776,0.656028,18.0,51012404.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
0.0556,0.75368,0.19068,0.75692,38.0,15011061.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.071,0.77292,0.15612,0.514156,81.0,9300000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.07568,0.73708,0.18732,0.829912,26.0,27747035.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.05188,0.78464,0.16332,0.737544,48.0,7650720.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.13444,0.7544,0.11112,-0.136344,31.0,25537368.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0652,0.76668,0.16808,0.590412,50.0,11052561.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
